"","Rk","Team","Date","Day","G#","Week","...7","Opp","Result"
"1",1,"TEN",2022-10-23,"Sun",6,7,NA,"IND","W 19-10"
"2",2,"LVR",2022-10-23,"Sun",6,7,NA,"HOU","W 38-20"
"3",3,"HOU",2022-10-23,"Sun",6,7,"@","LVR","L 20-38"
"4",4,"DET",2022-10-23,"Sun",6,7,"@","DAL","L 6-24"
"5",5,"PHI",2022-10-30,"Sun",7,8,NA,"PIT","W 35-13"
"6",6,"MIN",2022-10-30,"Sun",7,8,NA,"ARI","W 34-26"
"7",7,"BUF",2022-10-30,"Sun",7,8,NA,"GNB","W 27-17"
"8",8,"LAR",2022-10-30,"Sun",7,8,NA,"SFO","L 14-31"
"9",9,"KAN",2022-11-06,"Sun",8,9,NA,"TEN","W 20-17 (OT)"
"10",10,"LAC",2022-11-06,"Sun",8,9,"@","ATL","W 20-17"
"11",11,"CLE",2022-11-13,"Sun",9,10,"@","MIA","L 17-39"
"12",12,"NYG",2022-11-13,"Sun",9,10,NA,"HOU","W 24-16"
"13",13,"DAL",2022-11-13,"Sun",9,10,"@","GNB","L 28-31 (OT)"
"14",14,"PIT",2022-11-13,"Sun",9,10,NA,"NOR","W 20-10"
"15",15,"SFO",2022-11-13,"Sun",9,10,NA,"LAC","W 22-16"
"16",16,"DEN",2022-11-13,"Sun",9,10,"@","TEN","L 10-17"
"17",17,"NYJ",2022-11-20,"Sun",10,11,"@","NWE","L 3-10"
"18",18,"BAL",2022-11-20,"Sun",10,11,NA,"CAR","W 13-3"
"19",19,"NWE",2022-11-20,"Sun",10,11,NA,"NYJ","W 10-3"
"20",20,"CIN",2022-11-20,"Sun",10,11,"@","PIT","W 37-30"
"21",21,"MIA",2022-11-27,"Sun",11,12,NA,"HOU","W 30-15"
"22",22,"JAX",2022-11-27,"Sun",11,12,NA,"BAL","W 28-27"
"23",23,"TAM",2022-11-27,"Sun",11,12,"@","CLE","L 17-23 (OT)"
"24",24,"SEA",2022-11-27,"Sun",11,12,NA,"LVR","L 34-40 (OT)"
"25",25,"CAR",2022-12-11,"Sun",13,14,"@","SEA","W 30-24"
"26",26,"ARI",2022-12-12,"Mon",13,14,NA,"NWE","L 13-27"
"27",27,"IND",2022-12-17,"Sat",14,15,"@","MIN","L 36-39 (OT)"
"28",28,"NOR",2022-12-18,"Sun",14,15,NA,"ATL","W 21-18"
"29",29,"CHI",2022-12-18,"Sun",14,15,NA,"PHI","L 20-25"
"30",30,"ATL",2022-12-18,"Sun",14,15,"@","NOR","L 18-21"
"31",31,"WAS",2022-12-18,"Sun",14,15,NA,"NYG","L 12-20"
"32",32,"GNB",2022-12-19,"Mon",14,15,NA,"LAR","W 24-12"
"33",33,"BUF",2023-01-08,"Sun",16,18,NA,"NWE","W 35-23"
"34",34,"CIN",2023-01-08,"Sun",16,18,NA,"BAL","W 27-16"
